,Adj Close,Close,High,Low,Open,Volume
2003-04-01,17.417913,25.57,26.43,23.950001,24.459999,62151600.0
2003-05-01,16.763975,24.610001,26.5,23.889999,25.540001,66480900.0
2003-06-02,17.465595,25.639999,26.51,23.6,24.98,77050900.0
2003-07-01,17.990108,26.41,27.809999,25.389999,25.59,61659800.0
2003-08-01,18.065039,26.52,26.950001,25.43,26.33,47667100.0
2003-09-02,18.936956,27.799999,30.0,26.469999,26.700001,62697200.0
2003-10-01,17.906084,26.139999,29.459999,25.91,28.030001,63898000.0
2003-11-03,17.61153,25.709999,26.75,24.84,26.35,77670400.0
2003-12-01,18.748644,27.370001,27.549999,25.5,25.9,69030000.0
2004-01-02,18.940445,27.65,28.83,27.26,27.58,63635800.0
2004-02-02,18.173237,26.530001,27.799999,26.35,27.610001,57385900.0
2004-03-01,17.077225,24.93,26.719999,24.01,26.629999,77111900.0
2004-04-01,17.899233,26.129999,27.719999,24.85,24.950001,77386600.0
2004-05-03,17.967733,26.23,26.6,25.42,26.190001,58942400.0
2004-06-01,19.563801,28.559999,28.799999,25.860001,26.129999,77068200.0
2004-07-01,19.51585,28.49,29.889999,27.25,28.700001,76666600.0
2004-08-02,18.755856,27.299999,28.549999,26.85,28.27,52104600.0
2004-09-01,18.996315,27.65,27.790001,26.74,27.23,57725200.0
2004-10-01,19.216164,27.969999,28.889999,27.549999,27.82,65742900.0
2004-11-01,20.528961,26.809999,30.200001,26.1,28.16,86446000.0
2004-12-01,20.460047,26.719999,27.440001,26.68,26.950001,84488000.0
2005-01-03,20.123131,26.280001,27.1,25.639999,26.799999,79642800.0
2005-02-01,19.324961,25.16,26.5,25.129999,26.25,75992300.0
2005-03-01,18.56456,24.17,25.790001,23.82,25.190001,72899700.0
2005-04-01,19.432493,25.299999,25.450001,23.940001,24.24,77090200.0
2005-05-02,19.879395,25.799999,26.09,24.639999,25.23,62699700.0
2005-06-01,19.139696,24.84,26.0,24.82,25.73,62956700.0
2005-07-01,19.732998,25.610001,26.48,24.5,24.85,69046600.0
2005-08-01,21.159393,27.379999,27.940001,25.76,25.809999,65529900.0
2005-09-01,19.884266,25.73,27.389999,25.120001,27.379999,66976400.0
2005-10-03,19.861082,25.700001,25.799999,24.25,25.709999,72132400.0
2005-11-01,21.453943,27.68,28.25,25.610001,25.610001,71469100.0
2005-12-01,20.268085,26.15,28.1,26.1,27.73,62892300.0
2006-01-03,21.818226,28.15,28.379999,26.1,26.25,74173200.0
2006-02-01,20.896708,26.870001,28.07,26.34,27.959999,58565000.0
2006-03-01,21.161123,27.209999,28.219999,26.620001,26.98,65223100.0
2006-04-03,18.781372,24.15,27.940001,24.0,27.67,107219900.0
2006-05-01,17.683516,22.65,25.0,22.450001,24.32,110427000.0
2006-06-01,18.190989,23.299999,23.65,21.459999,22.74,92940200.0
2006-07-03,18.784344,24.059999,24.6,22.23,23.530001,68627600.0
2006-08-01,20.138628,25.700001,26.25,23.85,24.02,50459500.0
2006-09-01,21.431576,27.35,27.52,25.389999,25.889999,56588300.0
2006-10-02,22.497276,28.709999,28.85,27.15,27.32,61492200.0
2006-11-01,23.085276,29.360001,30.0,28.58,28.780001,61544700.0
2006-12-01,23.478416,29.860001,30.26,28.799999,29.23,58945000.0
2007-01-03,24.2647,30.860001,31.48,29.4,29.91,69924300.0
2007-02-01,22.2264,28.17,30.940001,27.790001,30.84,72483300.0
2007-03-01,21.989697,27.870001,28.549999,26.6,27.82,59843900.0
2007-04-02,23.622948,29.940001,30.74,27.559999,27.889999,51337600.0
2007-05-01,24.293144,30.690001,31.16,29.9,29.940001,64202000.0
2007-06-01,23.327435,29.469999,30.9,29.040001,30.790001,59647900.0
2007-07-02,22.947483,28.99,31.84,28.950001,29.67,64862000.0
2007-08-01,22.821386,28.73,30.1,27.51,28.950001,55264800.0
2007-09-04,23.401255,29.459999,29.85,28.27,28.5,61223000.0
2007-10-01,29.239655,36.810001,37.0,29.290001,29.459999,85117900.0
2007-11-01,26.778065,33.599998,37.5,32.68,36.529999,90565400.0
2007-12-03,28.371998,35.599998,36.720001,32.630001,33.5,55002300.0
2008-01-02,25.981098,32.599998,35.959999,31.040001,35.790001,97806800.0
2008-02-01,21.761713,27.200001,33.25,27.02,31.059999,122099600.0
2008-03-03,22.705786,28.379999,29.59,26.870001,27.24,74958500.0
2008-04-01,22.817797,28.52,32.099998,27.93,28.83,69066000.0
2008-05-01,22.741194,28.32,30.530001,27.950001,28.5,69931800.0
2008-06-02,22.090757,27.51,29.57,27.110001,28.24,77060400.0
2008-07-01,20.653372,25.719999,27.91,24.870001,27.27,77180100.0
2008-08-01,22.001499,27.290001,28.5,25.07,25.92,59889700.0
2008-09-02,21.517773,26.690001,27.76,23.5,27.67,96891900.0
2008-10-01,18.002691,22.33,27.469999,20.65,26.379999,136418800.0
2008-11-03,16.412018,20.219999,23.66,17.5,22.48,95976900.0
2008-12-01,15.778915,19.440001,21.25,18.469999,19.879999,72425500.0
2009-01-02,13.879601,17.1,21.0,16.75,19.530001,81320700.0
2009-02-02,13.198391,16.15,19.93,16.1,17.030001,81560000.0
2009-03-02,15.01266,18.370001,18.879999,14.87,15.96,78098900.0
2009-04-01,16.55724,20.26,21.200001,18.18,18.23,78563800.0
2009-05-01,17.180519,20.889999,20.940001,19.01,20.190001,57362800.0
2009-06-01,19.549112,23.77,24.34,20.860001,21.0,67163500.0
2009-07-01,19.343506,23.52,25.719999,22.0,24.049999,71441700.0
2009-08-03,20.386839,24.65,25.49,23.030001,23.82,49659200.0
2009-09-01,21.271784,25.719999,26.25,23.76,24.35,52500600.0
2009-10-01,22.93416,27.73,29.35,24.43,25.41,72581900.0
2009-11-02,24.431126,29.41,30.139999,27.41,27.700001,53121400.0
2009-12-01,25.319983,30.48,31.5,29.25,29.52,43297000.0
2010-01-04,23.409353,28.18,31.24,27.66,30.620001,81765200.0
2010-02-01,23.927773,28.67,29.030001,27.57,28.389999,58684900.0
2010-03-01,24.445221,29.290001,30.57,28.24,28.77,51043300.0
2010-04-01,25.488462,30.540001,31.58,28.620001,29.35,65821100.0
2010-05-03,21.629652,25.799999,31.059999,24.559999,30.67,89381300.0
2010-06-01,19.290632,23.01,26.93,22.950001,25.530001,79675500.0
2010-07-01,21.638037,25.809999,26.41,22.73,23.09,71053500.0
2010-08-02,19.781239,23.469999,26.379999,23.32,25.99,61156600.0
2010-09-01,20.640926,24.49,25.530001,23.540001,23.67,63542900.0
2010-10-01,22.478296,26.67,27.200001,23.780001,24.77,66458300.0
2010-11-01,21.420719,25.26,28.870001,24.93,26.879999,68402700.0
2010-12-01,23.667944,27.91,28.4,25.559999,25.57,48111900.0
2011-01-03,23.515303,27.73,29.459999,27.42,28.049999,71314300.0
2011-02-01,22.673317,26.58,28.34,26.43,27.799999,61355100.0
2011-03-01,21.658222,25.389999,26.780001,24.68,26.6,59744300.0
2011-04-01,22.110323,25.92,26.870001,24.719999,25.530001,81658100.0
2011-05-02,21.473911,25.01,26.25,24.030001,25.940001,67821800.0
2011-06-01,22.323938,26.0,26.0,23.65,24.99,61376900.0
2011-07-01,23.525997,27.4,28.15,25.84,25.93,68186100.0
2011-08-01,22.983259,26.6,27.690001,23.790001,27.51,77332100.0
2011-09-01,21.505762,24.889999,27.5,24.6,26.459999,63522800.0
2011-10-03,23.009178,26.629999,27.5,24.26,24.719999,60235300.0
2011-11-01,22.268375,25.58,27.200001,24.299999,26.190001,53693200.0
2011-12-01,22.59918,25.959999,26.190001,25.16,25.559999,49264800.0
2012-01-03,25.707003,29.530001,29.950001,26.389999,26.549999,70271500.0
2012-02-01,27.812794,31.74,32.0,29.709999,29.790001,52182700.0
2012-03-01,28.268454,32.259998,32.950001,31.49,31.93,44277900.0
2012-04-02,28.058151,32.02,32.889999,30.23,32.220001,48821800.0
2012-05-01,25.746145,29.190001,32.34,28.639999,32.049999,47886600.0
2012-06-01,26.980972,30.59,31.139999,28.32,28.76,48969400.0
2012-07-02,25.993109,29.469999,31.049999,28.540001,30.620001,42105900.0
2012-08-01,27.36392,30.82,30.959999,28.969999,29.59,30797300.0
2012-09-04,26.422787,29.76,31.610001,29.74,30.450001,49859800.0
2012-10-01,25.339596,28.540001,30.25,27.76,29.809999,55946000.0
2012-11-01,23.829113,26.620001,30.200001,26.34,28.84,66390700.0
2012-12-03,23.909676,26.709999,27.73,26.26,26.780001,49503000.0
2013-01-02,24.572094,27.450001,28.23,26.280001,27.25,56932500.0
2013-02-01,25.091433,27.799999,28.200001,27.1,27.67,42969800.0
2013-03-01,25.822515,28.610001,28.66,27.52,27.719999,45019900.0
2013-04-01,29.87505,33.099998,33.110001,28.110001,28.639999,70041900.0
2013-05-01,31.72056,34.900002,35.279999,32.32,32.93,51273800.0
2013-06-03,31.393356,34.540001,35.779999,32.57,34.919998,50535000.0
2013-07-01,28.939329,31.84,36.43,31.02,34.75,52501300.0
2013-08-01,30.571127,33.400002,35.200001,30.84,32.060001,49729700.0
2013-09-03,30.461288,33.279999,33.75,30.950001,31.75,64140000.0
2013-10-01,32.410885,35.41,36.290001,32.799999,33.349998,43783200.0
2013-11-01,35.165195,38.130001,38.290001,35.389999,35.669998,41126100.0
2013-12-02,34.501179,37.41,38.98,35.529999,38.09,40196200.0
2014-01-02,34.897743,37.84,37.889999,34.630001,37.349998,48732700.0
2014-02-03,35.596134,38.310001,38.459999,35.689999,37.740002,39290500.0
2014-03-03,38.086285,40.990002,41.5,37.490002,37.919998,39300500.0
2014-04-01,37.538078,40.400002,41.66,38.900002,41.150002,37217600.0
2014-05-01,38.308186,40.939999,40.970001,38.509998,40.240002,28996600.0
2014-06-02,39.019329,41.700001,42.290001,39.860001,40.950001,27931400.0
2014-07-01,40.385471,43.16,45.709999,41.049999,41.860001,34688800.0
